# depth yf yd sigma_yf sigma_yd
0.000000000000000000e+00 6.296977818202766741e+01 7.114663645128048586e+01 6.050943406213599163e-01 7.588123413266757433e-01
3.549999999999999822e-01 6.551380812183172964e+01 7.307968041365195688e+01 5.965342163972675582e-01 6.075074356384261298e-01
7.099999999999999645e-01 6.722661318567531907e+01 7.454137678683558477e+01 5.955919824929526429e-01 6.022443558018774068e-01
1.064999999999999947e+00 6.900364924876976147e+01 7.638957751716056066e+01 5.953418686539152516e-01 5.951425350857407759e-01
1.419999999999999929e+00 7.094798104168654618e+01 7.863459932374188099e+01 5.955261794564382649e-01 5.917067503365659453e-01
1.774999999999999911e+00 7.329977637012716229e+01 8.150396632035892708e+01 5.960322671327580313e-01 5.966913851337298791e-01
2.129999999999999893e+00 7.462341963513712528e+01 8.438445994678687612e+01 5.986901568242681826e-01 5.938970225616385656e-01
2.484999999999999876e+00 7.867828473564003389e+01 8.785541234672398048e+01 5.966971840950092698e-01 5.930898029157741780e-01
2.839999999999999858e+00 8.179738064810402420e+01 9.156410908730580900e+01 5.970861329412229246e-01 5.892729100855589319e-01
3.194999999999999840e+00 8.539988801646141781e+01 9.630953655317379969e+01 5.982606577804591153e-01 5.893635375155266143e-01
3.549999999999999822e+00 8.987841942616762481e+01 1.016642388899437606e+02 5.987360532186922768e-01 5.897909080354338807e-01
3.904999999999999805e+00 9.556057921130711463e+01 1.085627611035569089e+02 5.994283992896722868e-01 5.891868884050646127e-01
4.259999999999999787e+00 1.025142743771978360e+02 1.172448363397867297e+02 6.004981056509623993e-01 5.902549907851489808e-01
4.615000000000000213e+00 1.108898711623819935e+02 1.279104125394281795e+02 6.018688239068263890e-01 5.886415047942790135e-01
4.969999999999999751e+00 1.228528621329507189e+02 1.425937525207299927e+02 6.028736803606977723e-01 5.892819689656343396e-01
5.325000000000000178e+00 1.388336635410630038e+02 1.637909983324790915e+02 6.055292615846743498e-01 5.902216681207005378e-01
5.679999999999999716e+00 1.531562888086016869e+02 1.991305171420825388e+02 6.220297267778408523e-01 5.884835707726984166e-01
6.035000000000000142e+00 2.391224189647152514e+02 2.719079978680952081e+02 5.995751098598366413e-01 5.861879766922929447e-01
6.389999999999999680e+00 1.519935559745215414e+02 7.513385336973423136e+02 9.998653066576795867e-01 5.950711495459103384e-01
6.745000000000000107e+00 2.196120518524784870e+01 1.808549892663946252e+02 1.246388973302841707e+00 7.192592021237250721e-01
