i	j	k	Dose(Gy)
0	0	0	2.00904e-05
1	0	0	2.01464e-05
2	0	0	2.02301e-05
3	0	0	2.03756e-05
4	0	0	2.05052e-05
5	0	0	2.06941e-05
6	0	0	2.08544e-05
7	0	0	2.09821e-05
8	0	0	2.12045e-05
9	0	0	2.12268e-05
10	0	0	2.14209e-05
11	0	0	2.16148e-05
12	0	0	2.18894e-05
13	0	0	2.202e-05
14	0	0	2.21943e-05
15	0	0	2.25226e-05
16	0	0	2.2728e-05
17	0	0	2.28731e-05
18	0	0	2.29211e-05
19	0	0	2.30875e-05
20	0	0	2.3413e-05
21	0	0	2.35306e-05
22	0	0	2.38112e-05
23	0	0	2.39487e-05
24	0	0	2.4169e-05
25	0	0	2.4526e-05
26	0	0	2.4756e-05
27	0	0	2.50027e-05
28	0	0	2.52606e-05
29	0	0	2.55626e-05
30	0	0	2.5914e-05
31	0	0	2.61839e-05
32	0	0	2.66133e-05
33	0	0	2.70246e-05
34	0	0	2.71518e-05
35	0	0	2.76048e-05
36	0	0	2.80293e-05
37	0	0	2.85144e-05
38	0	0	2.89063e-05
39	0	0	2.93831e-05
40	0	0	2.98254e-05
41	0	0	3.02591e-05
42	0	0	3.0746e-05
43	0	0	3.13213e-05
44	0	0	3.18796e-05
45	0	0	3.24886e-05
46	0	0	3.32805e-05
47	0	0	3.39588e-05
48	0	0	3.45511e-05
49	0	0	3.54199e-05
50	0	0	3.6364e-05
51	0	0	3.74991e-05
52	0	0	3.85999e-05
53	0	0	3.96184e-05
54	0	0	4.09496e-05
55	0	0	4.25956e-05
56	0	0	4.4263e-05
57	0	0	4.6356e-05
58	0	0	4.8557e-05
59	0	0	5.12164e-05
60	0	0	5.46125e-05
61	0	0	5.87521e-05
62	0	0	6.43045e-05
63	0	0	7.12791e-05
64	0	0	8.30134e-05
65	0	0	0.000104857
66	0	0	0.00014921
67	0	0	5.22457e-05
68	0	0	1.4277e-06
69	0	0	9.08843e-07
70	0	0	5.82929e-07
71	0	0	5.73369e-07
72	0	0	4.29958e-07
73	0	0	4.54723e-07
74	0	0	3.98377e-07
75	0	0	3.20232e-07
76	0	0	3.01756e-07
77	0	0	3.09955e-07
78	0	0	3.5432e-07
79	0	0	3.18062e-07
80	0	0	2.80038e-07
81	0	0	2.71889e-07
82	0	0	2.31203e-07
83	0	0	2.23057e-07
84	0	0	2.19493e-07
85	0	0	1.77293e-07
86	0	0	1.92306e-07
87	0	0	2.04326e-07
88	0	0	2.14791e-07
89	0	0	1.9696e-07
90	0	0	1.92401e-07
91	0	0	2.06521e-07
92	0	0	2.06825e-07
93	0	0	2.07846e-07
94	0	0	2.11258e-07
95	0	0	2.07712e-07
96	0	0	1.69096e-07
97	0	0	1.70952e-07
98	0	0	1.72823e-07
99	0	0	2.11973e-07
100	0	0	1.98604e-07
101	0	0	1.50544e-07
102	0	0	1.70519e-07
103	0	0	1.10009e-07
104	0	0	1.0151e-07
105	0	0	1.08361e-07
106	0	0	1.354e-07
107	0	0	1.05283e-07
108	0	0	1.03369e-07
109	0	0	9.47045e-08
110	0	0	1.03427e-07
111	0	0	1.3952e-07
112	0	0	9.42641e-08
113	0	0	8.37741e-08
114	0	0	8.68533e-08
115	0	0	1.06884e-07
116	0	0	8.18971e-08
117	0	0	9.65408e-08
118	0	0	7.49533e-08
119	0	0	7.94204e-08
120	0	0	8.47818e-08
121	0	0	8.30341e-08
122	0	0	8.06347e-08
123	0	0	8.36264e-08
124	0	0	8.93962e-08
125	0	0	9.35336e-08
126	0	0	7.48672e-08
127	0	0	8.56075e-08
128	0	0	7.12711e-08
129	0	0	7.54994e-08
130	0	0	8.42267e-08
131	0	0	6.54695e-08
132	0	0	6.79478e-08
133	0	0	5.90491e-08
134	0	0	6.23103e-08
135	0	0	6.31281e-08
136	0	0	6.6094e-08
137	0	0	7.11937e-08
138	0	0	7.34196e-08
139	0	0	8.0123e-08
140	0	0	1.17888e-07
141	0	0	6.97814e-08
142	0	0	6.64344e-08
143	0	0	6.39568e-08
144	0	0	5.19099e-08
145	0	0	5.05803e-08
146	0	0	5.1069e-08
147	0	0	4.96934e-08
148	0	0	4.87178e-08
149	0	0	4.59418e-08
150	0	0	4.87669e-08
151	0	0	4.92938e-08
152	0	0	4.89447e-08
153	0	0	5.09307e-08
154	0	0	5.26912e-08
155	0	0	4.5819e-08
156	0	0	6.15702e-08
157	0	0	4.48214e-08
158	0	0	4.92343e-08
159	0	0	4.6736e-08
160	0	0	4.21e-08
161	0	0	4.34353e-08
162	0	0	3.93175e-08
163	0	0	3.79071e-08
164	0	0	3.31874e-08
165	0	0	3.285e-08
166	0	0	3.25785e-08
167	0	0	3.2708e-08
