i	j	k	LDT	LTT	proton_D	proton_T	deuteron_D	deuteron_T	triton_D	triton_T	He3_D	He3_T	alpha_D	alpha_T	He6_D	He6_T	Li6_D	Li6_T	Li7_D	Li7_T	Li8_D	Li8_T	Be7_D	Be7_T	Be8_D	Be8_T	Be9_D	Be9_T	B10_D	B10_T	B11_D	B11_T	B12_D	B12_T	C11_D	C11_T	C12_D	C12_T	C13_D	C13_T	C14_D	C14_T	N13_D	N13_T	N14_D	N14_T	N15_D	N15_T	N16_D	N16_T	O14_D	O14_T	O15_D	O15_T	O16_1_D	O16_1_T	O16_D	O16_T	O17_D	O17_T	O18_D	O18_T	F16_D	F16_T	F17_D	F17_T	F18_D	F18_T	F19_D	F19_T	Ne20_D	Ne20_T	Ne22_D	Ne22_T	Na22_D	Na22_T	Na23_D	Na23_T	Na24_D	Na24_T	Mg24_D	Mg24_T	Mg25_D	Mg25_T	Mg26_D	Mg26_T	Al26_D	Al26_T	Si29_D	Si29_T	P29_D	P29_T
0	0	0	74.1954	71.861	1.90759	1.79518	0	0	0	0	0	0	227.327	70.8988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.2427	34.2427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.7796	59.7801	0	0	254.407	254.434	81.7268	80.9685	73.7516	73.622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	75.4992	73.6656	2.50483	2.14428	0	0	0	0	0	0	400.272	95.4434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.3513	34.3512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.1573	60.1602	0	0	284.332	283.222	81.6813	81.3156	74.2658	74.113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	75.5107	74.0228	11.1542	3.30225	0	0	0	0	0	0	8.44448	7.70952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.5673	34.568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.54	60.5387	0	0	380.895	375.816	82.3762	82.0129	74.8017	74.6205	46.0023	46.0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	77.6316	74.4644	5.33381	3.12404	24.142	18.4551	0	0	0	0	8.39592	7.77788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.7951	34.7938	0	0	0	0	43.6552	43.6552	384.536	312.948	0	0	0	0	4.53041	5.00097	60.9283	60.9258	0	0	730.901	667.203	83.0603	82.7888	75.3642	75.1482	389.916	365.856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	75.9109	74.4055	10.5031	3.04141	7.01815	6.67698	0	0	0	0	8.43503	7.84105	5.27754	5.27754	15.9965	15.9965	0	0	0	0	0	0	0	0	0	0	0	0	35.0173	35.0185	0	0	0	0	43.8286	43.8367	0	0	0	0	0	0	0	0	61.3343	61.335	0	0	0	0	84.2878	83.6013	75.9667	75.7015	0	0	0	0	0	0	0	0	0	0	398.319	398.319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	77.9938	75.0499	2.76436	2.10741	4.29587	4.26463	0	0	6.91556	6.91556	8.5703	7.88929	5.28128	5.28127	16.0622	16.0624	0	0	0	0	0	0	0	0	0	0	0	0	35.2483	35.2503	0	0	0	0	44.9657	45.0018	0	0	0	0	0	0	0	0	61.7482	61.7493	0	0	0	0	85.1915	84.4663	76.6168	76.2517	0	0	0	0	0	0	0	0	0	0	491.242	484.435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	80.7961	75.65	4.39188	2.59757	17.3386	5.80132	0	0	6.93983	6.93979	8.2862	7.9371	5.28882	5.28879	16.1892	16.1889	0	0	0	0	0	0	0	0	0	0	0	0	35.4873	35.4864	0	0	0	0	46.1201	46.0235	0	0	0	0	0	0	59.2199	59.2181	61.8803	61.9304	0	0	0	0	241.345	100.241	77.3978	76.8384	380.108	308.007	0	0	1.65173	1.65173	0	0	0	0	905.447	835.659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	79.4024	75.8899	8.90001	3.04892	7.62484	4.44001	3.11257	3.11257	488.005	135.751	75.6985	26.6424	5.29675	5.29677	15.3274	15.1592	0	0	0	0	0	0	0	0	0	0	0	0	35.7256	35.7265	0	0	0	0	46.2858	46.0187	0	0	0	0	0	0	61.5966	61.4722	61.5824	61.5659	0	0	0	0	269.733	152.939	78.6581	77.4865	0	0	0	0	0	0	458.278	458.278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	82.9219	76.2813	5.01824	2.74466	17.4547	7.08547	3.12926	3.12924	7.00965	7.01009	406.943	56.0031	5.3049	5.3049	14.7372	14.7024	0	0	0	0	0	0	0	0	0	0	0	0	35.9644	35.9662	0	0	0	0	74.202	48.8788	0	0	0	0	0	0	64.1254	63.7353	232.123	89.2005	0	0	0	0	545.801	221.403	79.5999	78.0284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	79.6031	76.0697	10.4914	3.24283	7.09954	5.2189	5.3216	4.37286	7.04981	7.0499	37.8946	14.3443	5.31337	5.31343	15.1119	14.7939	0	0	0	0	0	0	0	0	0	0	0	0	36.2154	36.2163	0	0	0	0	46.4107	46.2769	0	0	0	0	0	0	67.6363	65.858	518.249	152.214	0	0	0	0	87.2079	86.7096	78.6791	78.4837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
