i	j	k	Dose(Gy)	proton	proton_f	deuteron	deuteron_f	triton	triton_f	H4	H4_f	He3	He3_f	alpha	alpha_f	He6	He6_f	Li4	Li4_f	Li6	Li6_f	Li7	Li7_f	Li8	Li8_f	Li9	Li9_f	Be6	Be6_f	Be7	Be7_f	Be8	Be8_f	Be9	Be9_f	Be10	Be10_f	B8	B8_f	B9	B9_f	B10	B10_f	B11	B11_f	B12	B12_f	C10	C10_f	C11	C11_f	C12	C12_f	C13	C13_f	C14	C14_f	C16	C16_f	N12	N12_f	N13	N13_f	N14	N14_f	N15	N15_f	N16	N16_f	N17	N17_f	O14	O14_f	O15	O15_f	O16_1	O16_1_f	O16	O16_f	O17	O17_f	O18	O18_f	O19	O19_f	F16	F16_f	F17	F17_f	F18	F18_f	F19	F19_f	F20	F20_f	Ne17	Ne17_f	Ne18	Ne18_f	Ne19	Ne19_f	Ne20	Ne20_f	Ne21	Ne21_f	Ne22	Ne22_f	Na21	Na21_f	Na22	Na22_f	Na23	Na23_f	Na24	Na24_f	Mg24	Mg24_f	Mg25	Mg25_f	Mg26	Mg26_f	Al26	Al26_f	Al27	Al27_f	Al28	Al28_f	Si28	Si28_f	Si29	Si29_f	Si30	Si30_f	P30	P30_f
0	0	0	0.000200095	5.84045e-08	107	1.28902e-08	12	4.15425e-09	6	0	1	2.03843e-08	3	5.4991e-08	41	0	0	0	0	5.27105e-09	2	0	0	7.85639e-09	1	0	0	0	0	4.13837e-09	2	2.59096e-13	4	0	0	0	0	0	0	0	0	1.57815e-09	1	5.65799e-09	2	0	0	0	0	2.253e-09	1	3.69031e-08	7	4.01988e-09	1	9.03336e-09	2	4.76627e-08	1	0	0	0	0	5.16651e-08	13	5.70912e-08	15	6.424e-13	1	0	0	0	0	1.09165e-07	19	0.000172024	27235	4.32141e-08	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0.000202922	6.37099e-08	151	1.46534e-08	17	5.67148e-09	8	0	1	2.36789e-09	5	1.54566e-07	53	9.24516e-09	1	0	0	2.78943e-09	3	0	0	0	0	0	0	0	0	4.63132e-09	2	2.93395e-15	2	0	0	0	0	0	0	9.29367e-16	1	3.50881e-09	2	6.9377e-09	3	0	0	0	0	3.59376e-09	1	4.01425e-08	11	5.17192e-09	3	9.01409e-09	2	0	0	0	0	1.80413e-08	2	1.30028e-07	16	7.19733e-08	15	0	0	0	0	0	0	1.7054e-07	25	0.000173229	27210	1.72898e-07	11	0	0	0	0	0	0	1.31325e-15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0.000204483	8.95454e-08	197	2.03112e-08	22	3.98534e-09	8	0	1	4.32632e-09	7	2.12247e-07	74	2.10199e-08	1	0	1	9.81541e-09	4	1.42517e-09	2	0	0	0	0	0	0	4.99916e-09	2	4.9041e-13	2	0	0	0	0	0	0	0	0	5.3973e-09	2	1.1755e-08	5	0	0	0	0	4.527e-09	2	5.15374e-08	11	2.52182e-08	4	8.93428e-09	2	0	0	0	0	5.69939e-09	1	1.37351e-07	22	1.37252e-07	20	0	0	0	0	0	0	3.83525e-07	29	0.00017428	27186	1.10474e-07	12	1.37022e-08	1	0	0	0	0	6.08659e-17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0.000205973	8.26376e-08	220	1.82758e-08	27	8.83432e-09	10	0	1	5.10302e-09	8	1.41159e-07	77	0	0	0	0	1.68806e-08	9	2.3662e-09	3	0	0	0	0	0	0	6.2621e-09	3	0	1	0	0	0	0	0	0	0	0	5.00274e-09	2	1.27911e-08	5	0	0	0	0	2.09571e-08	3	6.02332e-08	12	1.18196e-08	3	9.37077e-09	2	0	0	0	0	4.73473e-09	1	1.62379e-07	26	1.95884e-07	25	4.03954e-08	2	0	0	7.77232e-08	2	3.04136e-07	37	0.000175436	27161	2.00521e-07	14	8.31512e-08	1	0	0	0	0	0	0	7.76535e-09	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0.000207599	1.05071e-07	263	1.85054e-08	33	6.2791e-09	10	0	0	5.47369e-09	9	1.16239e-07	94	0	0	0	0	3.71089e-08	14	3.88484e-09	4	0	0	0	0	0	0	7.07253e-09	3	7.37426e-13	3	0	0	0	0	0	0	0	0	1.97219e-08	4	1.32181e-08	5	0	0	0	0	2.82728e-08	4	8.82237e-08	16	1.19707e-08	3	1.15266e-08	3	0	0	0	0	5.04821e-09	1	3.29812e-07	36	2.29211e-07	28	0	0	1.38855e-08	1	7.47007e-08	2	3.44436e-07	38	0.000176645	27136	1.7222e-07	12	0	0	0	0	0	0	5.44814e-16	1	1.01576e-07	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0.000208947	1.12836e-07	292	1.78451e-08	40	9.28886e-09	13	0	1	2.42025e-08	11	1.81441e-07	113	0	0	0	0	2.11699e-08	14	5.31457e-09	5	0	0	0	0	0	0	8.38783e-09	4	6.93481e-14	2	0	0	0	0	2.54233e-09	1	7.36647e-17	1	5.12524e-09	2	1.34668e-08	5	0	0	3.26574e-09	1	3.22994e-08	4	1.5434e-07	17	1.40716e-08	5	1.30782e-08	4	0	0	0	0	2.5361e-08	2	2.91569e-07	34	1.98224e-07	31	0	0	3.64869e-08	1	2.08702e-08	1	3.01676e-07	39	0.00017789	27110	1.30858e-07	11	2.79245e-14	1	0	0	0	0	0	0	1.28099e-07	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0.000209946	1.25308e-07	320	1.8053e-08	43	1.10219e-08	15	0	1	1.16094e-08	11	1.73907e-07	131	0	0	0	0	1.36616e-08	13	5.27665e-09	5	0	0	0	0	0	0	9.15155e-09	4	6.02577e-13	4	0	0	0	0	2.58528e-09	1	0	0	4.93936e-09	2	1.37545e-08	5	0	0	4.02527e-09	1	4.01503e-08	5	1.07227e-07	22	4.93454e-08	6	1.83551e-08	5	0	0	0	0	4.74862e-08	2	2.83076e-07	35	2.22981e-07	35	8.74962e-09	2	5.02147e-08	1	0	0	3.6252e-07	47	0.000178785	27084	1.18809e-07	16	1.15049e-13	1	0	0	0	0	1.33653e-16	1	7.23712e-08	1	0	0	0	0	0	0	1.1718e-08	1	1.21856e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0.000211572	1.54756e-07	356	2.96294e-08	51	1.00339e-08	17	0	1	3.91752e-08	16	1.47676e-07	134	0	0	0	0	1.37451e-08	13	1.27696e-08	6	0	0	0	0	0	0	9.03357e-09	4	0	0	0	0	0	0	2.75952e-09	1	0	0	7.96936e-09	4	1.38299e-08	6	0	0	3.95466e-09	1	5.58607e-08	5	1.67129e-07	23	3.09512e-08	9	2.2232e-08	5	0	0	0	0	5.61727e-08	2	2.85156e-07	40	2.34838e-07	38	0	0	6.0564e-08	1	0	0	4.47055e-07	48	0.000180033	27056	9.68351e-08	17	4.59322e-09	3	0	0	0	0	0	0	6.09011e-08	2	0	0	0	0	0	0	6.01468e-08	1	4.77737e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0.000213115	1.61991e-07	394	2.81125e-08	57	9.7827e-09	18	0	0	3.14451e-08	15	1.44783e-07	157	0	0	0	1	3.16201e-08	16	5.36805e-09	5	0	0	0	0	0	0	8.92944e-09	4	7.35605e-14	3	0	0	0	0	3.03647e-09	1	0	0	1.04041e-08	4	1.3708e-08	5	2.62573e-09	1	4.10094e-09	1	2.61437e-08	5	1.00918e-07	25	6.49805e-08	11	2.37599e-08	6	0	0	0	0	5.42493e-09	1	2.68526e-07	42	2.53038e-07	39	2.61343e-08	1	0	0	0	0	4.14636e-07	53	0.000181232	27030	2.42987e-07	20	5.82175e-08	2	0	0	0	0	0	0	9.53595e-08	4	0	0	0	0	0	0	1.59049e-07	2	6.54587e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0.000214844	1.67915e-07	450	3.25947e-08	66	1.00621e-08	21	0	0	6.63817e-08	20	2.15404e-07	173	1.1517e-08	1	0	0	5.69705e-08	18	5.37663e-09	5	0	0	0	0	0	0	9.38891e-09	4	2.12679e-65	1	0	0	0	0	2.94739e-09	1	0	0	1.06824e-08	4	4.13179e-08	6	3.62612e-09	1	4.18363e-09	1	3.67242e-08	5	1.53642e-07	28	5.31134e-08	13	2.6306e-08	6	0	0	0	0	5.49891e-09	1	3.20183e-07	47	2.1655e-07	42	1.21175e-07	7	0	0	0	0	4.32589e-07	57	0.000182575	27004	1.8579e-07	24	7.17608e-08	3	3.1107e-08	2	0	0	1.18326e-16	3	3.19871e-08	4	1.5025e-13	1	0	0	0	0	6.26888e-08	1	1.17781e-07	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0.000216041	1.70884e-07	460	2.3561e-08	71	1.39736e-08	34	0	0	4.89145e-08	25	2.75136e-07	190	0	0	0	0	2.80757e-08	17	6.21426e-09	6	0	0	0	0	0	0	9.43958e-09	4	9.98696e-19	1	0	0	0	0	3.29095e-09	1	0	0	1.52568e-08	5	3.39482e-08	6	3.44155e-09	1	4.14939e-09	1	4.38432e-08	5	1.65736e-07	33	5.06008e-08	13	2.65437e-08	6	0	0	0	0	8.06163e-09	2	3.25369e-07	48	2.21362e-07	39	1.67688e-07	3	0	0	0	0	4.38456e-07	57	0.0001838	26974	1.75102e-07	23	0	0	4.43061e-08	1	0	0	0	0	4.41022e-09	1	0	0	0	0	0	0	0	0	6.7906e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0.000217728	1.62603e-07	492	4.49061e-08	94	1.68038e-08	49	0	0	1.06538e-07	33	2.10188e-07	204	0	0	0	0	3.28044e-08	19	8.63977e-09	6	0	0	0	0	0	0	1.06294e-08	5	6.41921e-16	1	0	0	0	0	2.84734e-09	1	0	0	2.00067e-08	6	3.06804e-08	7	3.46192e-09	1	4.40489e-09	1	6.23765e-08	5	2.14679e-07	36	6.55076e-08	13	2.72121e-08	6	0	0	0	0	1.31158e-08	3	3.07517e-07	49	2.37352e-07	42	1.08659e-07	2	0	0	0	0	4.47718e-07	58	0.000185198	26956	1.64622e-07	21	0	0	6.51078e-08	2	0	0	0	0	4.11077e-08	2	1.99023e-13	2	0	0	6.13161e-09	1	0	0	1.00763e-07	1	2.02095e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
