i	j	k	LDT	LTT	proton_D	proton_T	deuteron_D	deuteron_T	triton_D	triton_T	H4_D	H4_T	He3_D	He3_T	alpha_D	alpha_T	He6_D	He6_T	Li4_D	Li4_T	Li6_D	Li6_T	Li7_D	Li7_T	Li8_D	Li8_T	Li9_D	Li9_T	Be6_D	Be6_T	Be7_D	Be7_T	Be8_D	Be8_T	Be9_D	Be9_T	Be10_D	Be10_T	B8_D	B8_T	B9_D	B9_T	B10_D	B10_T	B11_D	B11_T	B12_D	B12_T	C10_D	C10_T	C11_D	C11_T	C12_D	C12_T	C13_D	C13_T	C14_D	C14_T	C16_D	C16_T	N12_D	N12_T	N13_D	N13_T	N14_D	N14_T	N15_D	N15_T	N16_D	N16_T	N17_D	N17_T	O14_D	O14_T	O15_D	O15_T	O16_1_D	O16_1_T	O16_D	O16_T	O17_D	O17_T	O18_D	O18_T	O19_D	O19_T	F16_D	F16_T	F17_D	F17_T	F18_D	F18_T	F19_D	F19_T	F20_D	F20_T	Ne17_D	Ne17_T	Ne18_D	Ne18_T	Ne19_D	Ne19_T	Ne20_D	Ne20_T	Ne21_D	Ne21_T	Ne22_D	Ne22_T	Na21_D	Na21_T	Na22_D	Na22_T	Na23_D	Na23_T	Na24_D	Na24_T	Mg24_D	Mg24_T	Mg25_D	Mg25_T	Mg26_D	Mg26_T	Al26_D	Al26_T	Al27_D	Al27_T	Al28_D	Al28_T	Si28_D	Si28_T	Si29_D	Si29_T	Si30_D	Si30_T	P30_D	P30_T
0	0	0	74.1678	73.0078	6.61081	3.29232	11.4724	4.41302	14.6094	10.3072	1.83276	1.83276	404.845	127.373	294.751	26.9373	0	0	0	0	281.9	70.3255	0	0	294.654	263.713	0	0	0	0	26.6899	26.6029	29.9083	28.629	0	0	0	0	0	0	0	0	26.1642	26.1631	31.4249	31.4438	0	0	0	0	39.6018	39.6015	293.033	75.6137	43.5961	43.5897	51.3061	51.2516	578.082	533.806	0	0	0	0	68.1728	62.6819	281.489	80.4393	8.27415	8.27415	0	0	0	0	205.67	87.2855	73.7778	73.5964	83.1169	82.1068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	75.3202	73.4578	9.03286	3.32448	12.1238	4.3249	27.9067	8.65588	3.68059	3.68059	8.93996	8.03075	302.211	39.2656	191.598	186.554	0	0	38.7306	18.3044	0	0	0	0	0	0	0	0	27.1193	27.0124	102.528	102.528	0	0	0	0	0	0	154.876	154.876	28.1461	27.8881	30.773	30.6305	0	0	0	0	39.7637	39.7667	86.5012	59.7466	45.1097	44.9226	51.7987	51.6178	0	0	0	0	808.556	414.302	309.543	99.7783	135.75	69.4312	0	0	0	0	0	0	160.337	95.7186	74.3484	74.0985	622.662	215.77	0	0	0	0	0	0	492.443	494.693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	76.5888	73.7794	9.40953	3.38975	15.8386	5.03472	29.8805	5.86543	2.24129	2.24129	8.18864	7.35536	383.889	40.0394	598.848	459.912	9.29142	9.29142	54.9021	30.3864	12.2488	12.1826	0	0	0	0	0	0	27.3135	27.261	328.452	122.351	0	0	0	0	0	0	0	0	29.2809	28.9696	30.2519	30.0467	0	0	0	0	63.454	47.7538	103.2	58.2468	400.533	86.5917	52.1301	51.9875	0	0	0	0	59.4381	59.4498	194.049	83.0022	180.93	88.1975	0	0	0	0	0	0	421.622	151.302	75.1125	74.6255	431.762	144.026	451.85	451.396	0	0	0	0	98.165	98.165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	77.3767	74.1425	7.48836	2.84813	10.7843	3.91316	15.177	7.29281	1.76429	1.76429	7.86493	6.95	276.467	21.739	0	0	0	0	55.8061	23.5624	12.6002	12.5563	0	0	0	0	0	0	26.6075	26.4343	0	0	0	0	0	0	0	0	0	0	29.488	29.1084	30.3561	30.2697	0	0	0	0	121.622	88.4665	153.735	65.0267	45.5781	45.4875	52.3715	52.3725	0	0	0	0	59.8773	59.8781	142.496	84.3042	317.995	108.106	759.041	718.55	0	0	587.126	452.634	277.741	108.063	75.6008	75.1402	475.225	188.299	742.704	685.237	0	0	0	0	0	0	337.778	337.672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	78.3217	74.4938	7.90843	3.03351	6.27784	3.4691	7.88541	4.56282	0	0	7.64268	6.84206	167.894	15.0089	0	0	0	0	124.525	31.9315	12.0978	12.085	0	0	0	0	0	0	26.4572	26.1676	20.299	22.6045	0	0	0	0	0	0	0	0	403.025	91.5407	30.5475	30.4014	0	0	0	0	120.17	77.1462	284.934	80.8602	45.944	45.7539	51.5747	51.175	0	0	0	0	60.3059	60.3067	317.987	118.957	284.433	105.042	0	0	234.38	234.176	565.579	531.428	265.893	107.378	76.4201	75.6896	500.595	171.992	0	0	0	0	0	0	304.761	304.761	471.358	454.954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	79.1338	74.7867	8.60513	2.91091	4.81468	3.048	21.2628	6.21296	1.56909	1.56909	331.278	23.9113	305.331	18.9395	0	0	0	0	101.101	18.0061	12.0078	11.9447	0	0	0	0	0	0	25.7766	25.4373	20.4127	21.4587	0	0	0	0	32.1475	32.1442	34.2894	34.2894	29.5896	29.3666	30.6513	30.5412	0	0	45.4019	45.4085	143.434	85.1298	312.717	105.159	49.8829	46.2936	50.7195	50.0608	0	0	0	0	215.506	148.048	267.298	103.042	186.564	81.786	0	0	271.009	269.927	1010.11	905.675	148.455	90.0889	77.4718	76.2431	396.9	136.254	1.7003	1.7003	0	0	0	0	0	0	743.433	658.793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	78.5784	74.9607	4.6309	2.72126	4.2152	2.86128	10.2457	5.65732	1.94737	1.94737	45.4793	11.0855	272.028	16.7852	0	0	0	0	12.233	11.9296	12.0442	11.9797	0	0	0	0	0	0	25.9709	25.5266	206.122	26.1739	0	0	0	0	32.3474	32.354	0	0	29.8009	29.4993	30.8957	30.6833	0	0	45.726	45.7171	204.065	100.323	169.811	67.4911	401.768	110.61	49.4598	49.1684	0	0	0	0	311.92	216.243	248.885	98.8471	164.185	80.6114	921.763	847.635	371.26	366.506	0	0	195.692	98.2869	77.0945	76.7102	325.563	112.572	3.45123	3.45123	0	0	0	0	602.631	602.631	925.745	860.822	0	0	0	0	0	0	447.72	447.535	382.32	382.482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	79.6668	75.3803	8.33991	3.1229	11.7771	3.80773	7.65698	4.36928	1.43692	1.43692	374.813	33.0842	220.59	13.0678	0	0	0	0	12.26	11.9759	164.519	25.1319	0	0	0	0	0	0	26.095	25.7516	0	0	0	0	0	0	32.5619	32.562	0	0	29.8941	29.5169	30.9559	30.8239	0	0	46.0683	46.0715	389.753	121.026	262.785	82.9719	89.2707	51.8213	49.0645	48.8593	0	0	0	0	598.907	309.895	234.336	86.3467	227.111	80.6485	0	0	684.016	636.08	0	0	256.185	107.669	77.6836	77.2653	119.318	86.1377	343.632	342.572	0	0	0	0	0	0	973.59	911.691	0	0	0	0	0	0	541.31	536.685	433.757	432.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	80.2456	75.7285	8.25036	3.02602	5.65136	3.1445	7.1746	4.0441	0	0	263.197	22.3657	168.764	11.5154	0	0	11.1508	11.1508	94.3086	22.7402	12.1437	12.0567	0	0	0	0	0	0	26.2263	25.9721	122.509	57.0285	0	0	0	0	32.8042	32.8155	0	0	30.4111	30.2368	31.1568	30.9672	37.2321	37.2296	46.4142	46.4127	92.8705	61.7373	109.659	51.8221	310.751	81.9862	49.5642	49.3275	0	0	0	0	62.1617	62.1634	157.463	76.8631	228.091	80.5948	245.616	245.154	0	0	0	0	206.933	96.392	78.0482	77.8231	395.577	150.547	423.484	417.86	0	0	0	0	0	0	627.322	600.773	0	0	0	0	0	0	874.462	798.684	574.141	567.183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	81.051	76.1078	8.11966	2.92404	12.0811	3.41573	7.89953	3.83372	0	0	262.211	33.0818	231.523	14.4677	749.172	590.424	0	0	125.404	33.6918	12.1989	12.096	0	0	0	0	0	0	26.7717	26.2037	26.2394	26.2394	0	0	0	0	33.0583	33.0547	0	0	30.5833	30.3849	193.096	71.4783	37.4559	37.4567	46.7888	46.7824	127.659	76.8219	141.204	63.5784	124.695	52.6773	50.0234	49.7742	0	0	0	0	62.6578	62.666	185.156	81.8752	115.777	68.337	526.633	433.716	0	0	0	0	153.727	91.5749	78.7263	78.4246	297.232	123.339	781.854	725.908	308.309	307.719	0	0	492.881	330.077	1129.62	1020.59	3.53993	3.53993	0	0	0	0	1155.3	1083.7	906.494	752.955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
