i	j	k	LDT	LTT	proton_D	proton_T	deuteron_D	deuteron_T	triton_D	triton_T	He3_D	He3_T	alpha_D	alpha_T	He6_D	He6_T	Li6_D	Li6_T	Li7_D	Li7_T	Be7_D	Be7_T	Be8_D	Be8_T	B9_D	B9_T	B10_D	B10_T	B11_D	B11_T	C12_D	C12_T	C13_D	C13_T	N13_D	N13_T	N14_D	N14_T	N15_D	N15_T	O15_D	O15_T	O16_D	O16_T	O16_1_D	O16_1_T	O17_D	O17_T	O18_D	O18_T	F17_D	F17_T	F18_D	F18_T	Ne18_D	Ne18_T	Ne20_D	Ne20_T	Ne21_D	Ne21_T	Na23_D	Na23_T	Na24_D	Na24_T	Mg24_D	Mg24_T	Mg25_D	Mg25_T	Al27_D	Al27_T	Si30_D	Si30_T	P30_D	P30_T	Ar38_D	Ar38_T
0	0	0	79.3529	77.9427	2.70916	2.46926	0	0	11.6942	10.9376	24.8997	22.9047	481.087	52.5955	0	0	0	0	9.80413	9.80496	0	0	0	0	0	0	0	0	0	0	208.378	126.985	0	0	0	0	0	0	151.573	151.522	0	0	181.636	122.207	78.6721	78.5243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	80.3505	78.6611	3.38663	2.41172	0	0	8.77911	6.81346	26.7759	24.3749	7.56143	7.26314	0	0	0	0	9.82073	9.8207	0	0	0	0	0	0	0	0	0	0	335.329	207.684	0	0	0	0	0	0	160.273	160.297	77.3268	77.3059	305.707	222.228	79.2822	79.1195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	81.5695	79.2547	3.87397	2.73665	0	0	7.48846	5.96482	31.017	27.6173	7.68518	7.29896	0	0	0	0	9.8394	9.83995	0	0	0	0	0	0	0	0	0	0	555.685	193.137	0	0	0	0	0	0	170.716	170.63	78.0113	77.9611	423.343	287.828	79.9169	79.7471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	83.6012	79.9485	4.9632	3.24001	0	0	6.23471	4.70959	36.9221	30.2239	323.137	78.1127	0	0	0	0	9.85752	9.85757	0	0	0	0	0	0	0	0	0	0	46.6389	46.6389	0	0	0	0	0	0	183.638	183.502	78.6539	78.6037	631.194	322.628	80.616	80.4241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	81.6717	80.0464	7.22477	4.47998	0.968538	1.16236	5.23565	3.66539	52.1185	35.7165	7.50323	7.23012	0	0	0	0	9.8764	9.87639	24.3956	24.3956	17.9932	17.9932	0	0	0	0	0	0	46.9456	46.9456	0	0	0	0	0	0	200.486	200.337	84.7374	83.7466	208.013	184.143	81.2958	81.0909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	82.8378	80.7665	13.5025	5.10046	1.28553	1.1562	4.82241	3.43788	299.261	73.3617	7.53495	7.19784	0	0	0	0	9.8948	9.89481	24.5398	24.5398	0	0	0	0	0	0	34.0818	34.0818	47.2682	47.2599	0	0	0	0	0	0	223.812	223.51	89.5799	87.9206	232.415	201.433	82.0077	81.7713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	84.2193	81.5167	10.867	3.63649	1.2391	1.08104	24.5647	4.97969	42.8234	35.8294	387.09	26.4576	0	0	0	0	9.91256	9.91258	24.7344	24.7322	0	0	0	0	0	0	34.2047	34.2047	538.594	138.108	0	0	0	0	0	0	258.887	258.146	91.3576	89.2635	261.341	212.055	82.7476	82.4836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	85.1547	82.1844	11.0443	3.8819	1.25244	1.03889	16.0558	6.86832	317.435	105.952	7.71395	7.42145	0	0	0	0	9.93095	9.93097	24.9238	24.9244	0	0	0	0	0	0	34.3959	34.3959	47.9478	47.9439	0	0	0	0	0	0	316.469	294.607	92.6789	91.1737	314.254	224.248	83.5259	83.222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	87.7043	82.9957	6.71627	3.08374	1.18804	1.03986	8.92826	5.09906	14.8935	14.8949	7.84723	7.46069	0	0	0	0	9.9505	9.95074	25.1159	25.1165	0	0	0	0	0	0	34.5899	34.5899	48.3035	48.3092	0	0	0	0	0	0	432.345	271.356	94.3185	92.316	516.48	308.425	84.3296	83.9582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	87.9537	83.5225	9.69415	3.18069	36.9102	3.61497	7.92678	4.17423	43.4275	32.8318	58.6731	15.6614	0	0	0	0	9.97096	9.97097	25.3211	25.3213	0	0	0	0	0	0	34.7917	34.7918	102.103	84.0889	0	0	0	0	68.16	68.1639	663.298	251.202	95.5798	93.5229	540.642	277.116	85.2241	84.7516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	87.6952	83.9974	5.76523	2.67676	1.26041	1.14898	6.58186	3.5161	54.9898	36.5613	308.998	32.9579	0	0	0	0	9.98916	9.98912	25.527	25.5267	0	0	0	0	0	0	35.0079	35.0079	110.737	91.5789	52.6816	52.6816	0	0	157.261	123.73	69.989	69.9869	96.4424	94.803	637.197	193.147	86.232	85.5798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
