# yf yd sigma_yf sigma_yd
8.855072999045341930e+01 1.396690902510426326e+02 6.584320685908396920e-01 7.094575786243754179e-01
9.855032363667007189e+01 1.622154793827376409e+02 6.671548681545091952e-01 6.974567604861106052e-01
1.105251232332473279e+02 1.860213823094057375e+02 6.718096992442862403e-01 6.819986602935212971e-01
1.262871772520715297e+02 2.167199744658462919e+02 6.759309423477968259e-01 6.629985385644847629e-01
1.331999074362290685e+02 2.838540623701236427e+02 7.257290980293625848e-01 6.333145456734285972e-01
2.125660029130564794e+02 3.766877754410869557e+02 6.828646846175699947e-01 6.166207456468235648e-01
1.814074639214094020e+02 5.667744091661775201e+02 8.329259315201088532e-01 5.999966340510222151e-01
2.577768091199500589e+01 1.437456882363347006e+02 1.051775945193989203e+00 7.699977660813673852e-01
2.225594424010682459e+01 1.119374946660856409e+02 1.007100930333511224e+00 7.982036122082328822e-01
1.907178630545762488e+01 8.956920169233674756e+01 9.788846886518577373e-01 8.452286210227407670e-01
