i	j	k	Dose(Gy)
0	0	0	1.99564e-05
1	0	0	2.00086e-05
2	0	0	2.01672e-05
3	0	0	2.04058e-05
4	0	0	2.04769e-05
5	0	0	2.06703e-05
6	0	0	2.08755e-05
7	0	0	2.1025e-05
8	0	0	2.12717e-05
9	0	0	2.1387e-05
10	0	0	2.15417e-05
11	0	0	2.17581e-05
12	0	0	2.19783e-05
13	0	0	2.22382e-05
14	0	0	2.25235e-05
15	0	0	2.27384e-05
16	0	0	2.29135e-05
17	0	0	2.32035e-05
18	0	0	2.34653e-05
19	0	0	2.3827e-05
20	0	0	2.40358e-05
21	0	0	2.4293e-05
22	0	0	2.46057e-05
23	0	0	2.4906e-05
24	0	0	2.53043e-05
25	0	0	2.56289e-05
26	0	0	2.5976e-05
27	0	0	2.63037e-05
28	0	0	2.67745e-05
29	0	0	2.72279e-05
30	0	0	2.75674e-05
31	0	0	2.80643e-05
32	0	0	2.84556e-05
33	0	0	2.89737e-05
34	0	0	2.94547e-05
35	0	0	3.01213e-05
36	0	0	3.06261e-05
37	0	0	3.13805e-05
38	0	0	3.20566e-05
39	0	0	3.29318e-05
40	0	0	3.37562e-05
41	0	0	3.48149e-05
42	0	0	3.602e-05
43	0	0	3.71033e-05
44	0	0	3.84036e-05
45	0	0	3.99581e-05
46	0	0	4.18504e-05
47	0	0	4.40584e-05
48	0	0	4.70589e-05
49	0	0	5.1405e-05
50	0	0	5.77924e-05
51	0	0	5.86439e-05
52	0	0	5.766e-05
53	0	0	5.54787e-05
54	0	0	5.19404e-05
55	0	0	5.02258e-05
56	0	0	4.90123e-05
57	0	0	4.67832e-05
58	0	0	4.11202e-05
59	0	0	3.64903e-05
60	0	0	3.37526e-05
61	0	0	3.00267e-05
62	0	0	2.57631e-05
63	0	0	2.04188e-05
64	0	0	1.24079e-05
65	0	0	1.33831e-06
66	0	0	2.79877e-07
67	0	0	2.27208e-07
68	0	0	2.11195e-07
69	0	0	1.90539e-07
70	0	0	1.93777e-07
71	0	0	1.59058e-07
72	0	0	1.56536e-07
73	0	0	1.95901e-07
74	0	0	1.50114e-07
75	0	0	1.42037e-07
76	0	0	1.58875e-07
77	0	0	1.28482e-07
78	0	0	1.27996e-07
79	0	0	1.62361e-07
80	0	0	1.23765e-07
81	0	0	1.40459e-07
82	0	0	1.24751e-07
83	0	0	1.38458e-07
84	0	0	1.29076e-07
85	0	0	9.23163e-08
86	0	0	9.52356e-08
87	0	0	1.00063e-07
88	0	0	1.01055e-07
89	0	0	9.91782e-08
90	0	0	1.03193e-07
91	0	0	1.15121e-07
92	0	0	1.34486e-07
93	0	0	1.35515e-07
94	0	0	1.25704e-07
95	0	0	1.081e-07
96	0	0	1.03012e-07
97	0	0	9.85569e-08
98	0	0	1.0954e-07
99	0	0	9.42577e-08
100	0	0	9.59751e-08
101	0	0	8.39585e-08
102	0	0	9.6634e-08
103	0	0	7.80763e-08
104	0	0	9.11535e-08
105	0	0	1.0141e-07
106	0	0	6.88692e-08
107	0	0	6.86137e-08
108	0	0	7.18594e-08
109	0	0	9.70107e-08
110	0	0	5.66077e-08
111	0	0	5.52597e-08
112	0	0	5.45001e-08
113	0	0	5.72607e-08
114	0	0	5.47125e-08
115	0	0	5.68832e-08
116	0	0	5.65324e-08
117	0	0	6.09204e-08
118	0	0	6.00548e-08
119	0	0	6.54352e-08
120	0	0	7.07324e-08
121	0	0	8.70664e-08
122	0	0	7.30198e-08
123	0	0	5.79511e-08
124	0	0	5.97035e-08
125	0	0	7.93834e-08
