i	j	k	Dose(Gy)	proton	proton_f	deuteron	deuteron_f	triton	triton_f	He3	He3_f	alpha	alpha_f	Li6	Li6_f	Be8	Be8_f	B10	B10_f	C12	C12_f	C13	C13_f	C14	C14_f	N14	N14_f	O16	O16_f	O16_1	O16_1_f	O17	O17_f	O18	O18_f	F17	F17_f	F18	F18_f	Ne20	Ne20_f	Na23	Na23_f	Mg26	Mg26_f	Al26	Al26_f
0	0	0	4.27101e-06	2.64924e-10	1	0	0	0	0	0	0	1.90447e-09	1	0	0	0	0	0	0	6.3207e-09	1	1.42804e-08	1	0	0	0	0	9.95656e-09	1	4.15981e-06	377	2.39119e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	4.29987e-06	4.1468e-10	3	0	0	1.5729e-09	1	1.94056e-08	1	5.51139e-09	4	0	0	0	0	5.35222e-09	1	6.29969e-09	1	1.51816e-08	1	0	0	0	0	9.9322e-09	1	4.19118e-06	375	2.65982e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	4.28416e-06	7.95623e-10	3	2.26104e-09	1	3.57592e-09	1	2.36111e-08	1	7.80308e-09	4	0	0	0	0	9.13903e-09	1	5.88742e-09	1	1.69966e-08	1	0	0	0	0	1.00417e-08	1	4.15456e-06	370	3.00036e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	4.15723e-06	6.98835e-10	3	3.14474e-09	1	4.00991e-09	1	0	0	8.04336e-09	4	0	0	0	0	9.72332e-09	1	6.11582e-09	1	1.9443e-08	1	0	0	0	0	9.71221e-09	1	4.04273e-06	367	3.51314e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	4.23572e-06	6.72099e-10	3	2.08488e-09	1	0	0	0	0	8.30871e-09	4	0	0	0	0	1.04541e-08	1	5.69436e-09	1	2.33817e-08	1	0	0	0	0	1.03127e-08	1	4.11356e-06	364	4.52249e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	4.4382e-06	6.81228e-10	3	1.72096e-09	1	0	0	0	0	8.52231e-09	4	0	0	0	0	1.15093e-08	1	6.17869e-09	1	3.12557e-08	1	0	0	0	0	1.01904e-08	1	4.27701e-06	363	7.66843e-08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	4.40217e-06	1.42377e-09	7	1.35618e-09	3	1.42325e-10	1	2.30573e-10	1	1.65985e-08	7	4.75236e-10	1	0	0	1.88663e-08	2	6.22927e-09	1	4.01461e-08	1	0	0	0	0	1.75262e-08	2	4.28403e-06	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	4.49451e-06	2.46581e-09	7	1.53272e-09	2	4.39611e-10	1	2.88464e-09	1	3.57646e-08	7	4.52778e-09	1	0	0	3.08166e-08	2	6.34205e-09	1	0	0	0	0	0	0	5.68975e-08	2	4.33962e-06	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	4.37908e-06	2.71299e-09	7	1.76387e-09	2	3.48074e-10	1	3.1832e-09	1	1.72422e-08	6	5.00053e-09	1	0	0	3.99009e-08	2	6.49548e-09	1	0	0	0	0	0	0	1.03028e-08	1	4.28078e-06	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	4.12376e-06	2.97038e-09	10	2.50198e-09	4	4.9527e-10	2	3.45801e-09	1	1.97239e-08	7	5.34786e-09	1	0	0	5.18278e-08	2	6.64356e-09	1	0	0	0	0	0	0	2.32246e-08	2	3.99496e-06	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	4.21649e-06	3.66533e-09	10	3.68018e-09	4	7.9073e-10	2	4.16718e-09	1	2.4053e-08	7	5.761e-09	1	0	0	2.93138e-08	1	6.76207e-09	1	0	0	0	0	0	0	4.68592e-08	2	4.08318e-06	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	4.3818e-06	3.61004e-09	10	7.99173e-09	5	7.63023e-10	2	4.7553e-09	1	2.799e-08	7	6.90933e-09	1	0	0	0	0	6.51917e-09	1	0	0	0	0	0	0	5.80641e-08	2	4.25748e-06	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	4.45936e-06	3.55835e-09	10	4.00512e-09	4	6.43381e-10	2	6.0682e-09	1	4.38704e-08	7	8.22628e-09	1	0	0	0	0	6.67205e-09	1	0	0	0	0	0	0	6.9608e-08	2	4.26318e-06	339	0	0	0	0	4.84137e-08	1	0	0	0	0	0	0	0	0	0	0
13	0	0	4.45058e-06	4.06676e-09	10	3.45578e-09	4	7.586e-10	2	9.90623e-09	1	2.28255e-08	6	1.16716e-08	1	0	0	0	0	6.68907e-09	1	0	0	0	0	0	0	1.15078e-08	1	4.31353e-06	338	8.36538e-14	1	0	0	6.15542e-08	1	0	0	0	0	0	0	0	0	0	0
14	0	0	4.51276e-06	3.9963e-09	10	3.32479e-09	6	8.0009e-10	2	1.92914e-08	2	3.40664e-08	7	1.08737e-08	1	0	0	0	0	7.24727e-09	1	0	0	0	0	0	0	1.12657e-08	1	4.41367e-06	334	0	0	0	0	0	0	5.66795e-09	1	0	0	0	0	0	0	0	0
15	0	0	4.46634e-06	4.53517e-09	11	2.57633e-09	5	7.86069e-10	2	1.97628e-08	1	6.54492e-08	7	0	0	0	0	0	0	9.95049e-09	2	0	0	0	0	0	0	1.29232e-08	1	4.32376e-06	327	0	0	0	0	0	0	2.40623e-08	1	0	0	0	0	0	0	0	0
16	0	0	4.34341e-06	5.25251e-09	11	2.73437e-09	5	8.63811e-10	2	0	0	5.76173e-08	6	0	0	0	0	0	0	1.57312e-08	2	0	0	0	0	0	0	1.23793e-08	1	4.22202e-06	323	0	0	0	0	0	0	2.55806e-08	1	0	0	0	0	0	0	0	0
17	0	0	4.28923e-06	6.21624e-09	11	2.86447e-09	5	8.56147e-10	2	0	0	1.53807e-08	4	0	0	0	0	0	0	1.62378e-08	2	0	0	0	0	0	0	1.29114e-08	1	4.20706e-06	319	0	0	0	0	0	0	2.73662e-08	1	0	0	0	0	0	0	0	0
18	0	0	4.53129e-06	6.66069e-09	14	2.86026e-09	6	8.18686e-10	2	0	0	3.64447e-08	7	0	0	0	0	0	0	1.77884e-08	2	0	0	9.33319e-09	1	0	0	1.31485e-08	1	4.41368e-06	317	0	0	0	0	0	0	3.05356e-08	1	0	0	0	0	0	0	0	0
19	0	0	4.58662e-06	7.8261e-09	13	3.19609e-09	6	8.06821e-10	2	0	0	5.51237e-08	7	0	0	0	0	0	0	1.73236e-08	2	0	0	2.86654e-08	1	0	0	1.36738e-08	1	4.42501e-06	313	0	0	0	0	0	0	3.4978e-08	1	0	0	0	0	0	0	0	0
