i	j	k	LDT	LTT	proton_D	proton_T	deuteron_D	deuteron_T	triton_D	triton_T	He3_D	He3_T	alpha_D	alpha_T	Li6_D	Li6_T	Be8_D	Be8_T	B10_D	B10_T	C12_D	C12_T	C13_D	C13_T	C14_D	C14_T	N14_D	N14_T	O16_D	O16_T	O16_1_D	O16_1_T	O17_D	O17_T	O18_D	O18_T	F17_D	F17_T	F18_D	F18_T	Ne20_D	Ne20_T	Na23_D	Na23_T	Mg26_D	Mg26_T	Al26_D	Al26_T
0	0	0	155.083	111.084	1.5451	1.54533	0	0	0	0	0	0	14.6191	14.6161	0	0	0	0	0	0	58.0841	58.0841	141.006	140.998	0	0	0	0	96.5586	96.5586	155.08	111.562	226.844	226.791	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	167.654	110.696	1.67351	1.55879	0	0	12.2461	12.2285	46.4744	43.9252	16.1789	16.0982	0	0	0	0	85.7868	85.8008	58.7793	58.7793	152.788	152.585	0	0	0	0	97.8111	97.8111	168.456	113.304	249.21	248.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	163.31	110.732	1.71424	1.56867	42.055	38.2196	16.378	16.1588	375.069	196.19	16.7443	16.6746	0	0	0	0	89.5411	89.5425	59.4689	59.4689	168.48	168.325	0	0	0	0	99.1072	99.1073	162.203	113.134	281.02	280.641	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	144.382	108.995	1.70036	1.57806	16.743	16.2871	39.9196	34.6065	0	0	17.2645	17.1417	0	0	0	0	94.9935	95.0138	60.1664	60.1664	191.299	191.045	0	0	0	0	100.428	100.428	143.368	111.477	331.351	330.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	148.789	111.844	1.77102	1.58791	11.0506	10.9934	0	0	0	0	17.7637	17.656	0	0	0	0	101.711	101.662	60.8712	60.8712	229.139	228.211	0	0	0	0	101.809	101.809	146.009	113.821	426.22	422.478	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	175.811	117.055	1.77072	1.59729	9.04138	9.03353	0	0	0	0	18.3294	18.2157	0	0	0	0	110.346	110.205	61.5989	61.5989	310.917	307.209	0	0	0	0	103.268	103.268	165.231	118.17	764.363	705.276	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	173.538	116.708	2.47	2.10419	8.05126	7.87272	3.82071	3.82071	24.9409	24.9409	54.1509	27.9353	41.4365	41.4365	0	0	129.932	128.768	62.3809	62.3809	571.389	533.235	0	0	0	0	297.653	154.299	170.267	119.889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	193.162	117.671	2.96472	2.5041	7.58612	6.37361	3.84504	3.84504	26.0154	26.0118	312.25	52.7295	42.9235	42.8949	0	0	154.738	153.072	63.1966	63.1966	0	0	0	0	0	0	737.511	364.552	185.988	122.778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	193.958	116.427	2.98782	2.56784	8.64715	7.00073	3.87853	3.87848	28.3709	28.3672	27.1592	24.7056	46.0803	46.0481	0	0	203.906	196.084	64.055	64.055	0	0	0	0	0	0	108.044	108.044	195.446	122.819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	145.077	109.673	2.96829	2.54659	8.41283	4.12128	3.74026	3.71597	31.45	31.4416	30.495	27.0201	50.1506	50.1028	0	0	347.523	298.728	64.9615	64.9615	0	0	0	0	0	0	213.182	166.588	143.193	116.803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	149.553	109.885	2.97873	2.51157	9.17663	3.41974	3.64191	3.60903	35.8559	35.829	35.7085	30.1867	55.5251	55.4562	0	0	441.361	403.884	65.9168	65.9168	0	0	0	0	0	0	292.102	230.987	147.175	119.523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	171.964	114.352	3.12915	2.59131	28.5409	6.88351	3.68829	3.63803	42.6887	42.4953	49.1372	35.4802	63.5078	63.3325	0	0	0	0	66.8953	66.8953	0	0	0	0	0	0	396.212	289.183	170.644	124.713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	182.151	117.706	3.44149	2.68319	8.81021	3.51235	3.69961	3.66519	54.9388	54.621	255.273	59.2635	77.2979	76.8943	0	0	0	0	67.9004	67.9004	0	0	0	0	0	0	703.726	396.049	169.289	126.201	0	0	0	0	579.314	574.357	0	0	0	0	0	0	0	0	0	0
13	0	0	185.939	118.775	3.64934	2.79488	6.58255	3.10417	3.73856	3.69238	92.0324	88.3405	36.5665	33.1048	112.511	109.539	0	0	0	0	68.9538	68.9538	0	0	0	0	0	0	118.144	118.141	176.639	128.785	2.9429	2.9429	0	0	972.279	906.632	0	0	0	0	0	0	0	0	0	0
14	0	0	200.495	121.593	4.03671	2.94652	4.45773	2.68676	3.71169	3.72311	440.646	239.951	48.2018	42.5051	243.499	220.098	0	0	0	0	70.0927	70.0927	0	0	0	0	0	0	120.432	120.432	201.26	133.214	0	0	0	0	0	0	227.388	227.388	0	0	0	0	0	0	0	0
